Region,Population_Density
Yorkshire,400000
Wales,700000
North East,400000
North East,1000000
East Midlands,700000
Greater London,400000
Yorkshire,750000
Wales,900000
South East,400000
Wales,600000
Greater London,750000
Scotland,400000
Scotland,250000
Scotland,550000
Greater London,900000
North East,400000
Greater London,750000
Scotland,1000000
Wales,700000
Greater London,400000
North East,900000
Scotland,750000
East Midlands,1000000
Wales,400000
Wales,500000
South East,900000
West Midlands,900000
Yorkshire,550000
Wales,600000
Greater London,700000
East Midlands,600000
East Midlands,1000000
North East,750000
Yorkshire,1000000
West Midlands,400000
Wales,250000
Yorkshire,750000
South East,750000
Yorkshire,900000
Greater London,500000
Yorkshire,250000
North East,600000
East Midlands,900000
East Midlands,550000
North East,550000
Scotland,700000
Wales,750000
North East,250000
North East,1000000
Scotland,900000
Scotland,900000
Wales,400000
West Midlands,600000
Wales,400000
North East,900000
Northern Ireland,500000
Yorkshire,900000
Greater London,400000
Wales,750000
East Midlands,1000000
North East,600000
South East,600000
Wales,550000
Wales,600000
Yorkshire,700000
West Midlands,700000
South East,250000
Yorkshire,550000
South East,1000000
Scotland,900000
South East,250000
Scotland,900000
East Midlands,550000
West Midlands,250000
Northern Ireland,700000
North East,750000
Wales,1000000
Yorkshire,400000
Greater London,250000
Scotland,750000
Greater London,550000
Greater London,250000
West Midlands,900000
Greater London,500000
East Midlands,700000
Northern Ireland,500000
Yorkshire,700000
Yorkshire,500000
Scotland,700000
South East,750000
West Midlands,700000
Scotland,750000
East Midlands,600000
North East,600000
West Midlands,900000
South East,700000
South East,700000
North East,900000
Yorkshire,900000
Greater London,500000
Wales,900000
South East,900000
Wales,700000
West Midlands,750000
South East,1000000
Greater London,400000
West Midlands,900000
South East,500000
South East,700000
Northern Ireland,700000
Yorkshire,400000
Greater London,600000
Yorkshire,500000
Scotland,750000
Yorkshire,900000
East Midlands,550000
East Midlands,900000
South East,1000000
East Midlands,550000
Yorkshire,500000
West Midlands,1000000
Wales,400000
North East,500000
East Midlands,550000
West Midlands,400000
Yorkshire,900000
Yorkshire,600000
East Midlands,600000
East Midlands,900000
Northern Ireland,1000000
South East,550000
West Midlands,1000000
Northern Ireland,550000
South East,500000
Northern Ireland,250000
South East,700000
Wales,1000000
Northern Ireland,500000
Scotland,700000
Greater London,700000
Wales,1000000
Northern Ireland,700000
East Midlands,400000
East Midlands,700000
South East,750000
South East,500000
East Midlands,900000
Scotland,400000
Northern Ireland,600000
Yorkshire,400000
South East,500000
North East,900000
Greater London,250000
Greater London,750000
West Midlands,400000
East Midlands,1000000
Wales,600000
Wales,900000
North East,1000000
South East,700000
Greater London,550000
Greater London,1000000
East Midlands,600000
East Midlands,600000
Yorkshire,400000
North East,500000
South East,750000
Wales,500000
North East,900000
Northern Ireland,700000
North East,250000
Greater London,600000
West Midlands,550000
East Midlands,750000
North East,550000
North East,250000
West Midlands,400000
West Midlands,1000000
Northern Ireland,250000
Northern Ireland,750000
Yorkshire,750000
Wales,250000
East Midlands,1000000
South East,550000
Wales,750000
East Midlands,550000
East Midlands,550000
Northern Ireland,900000
West Midlands,550000
Northern Ireland,700000
Greater London,900000
West Midlands,700000
Scotland,250000
West Midlands,700000
Scotland,400000
North East,900000
South East,400000
Northern Ireland,500000
Wales,500000
Northern Ireland,400000
East Midlands,500000
West Midlands,1000000
South East,1000000
Northern Ireland,600000
North East,500000
Wales,1000000
Wales,1000000
West Midlands,900000
Scotland,700000
South East,250000
Yorkshire,1000000
Greater London,550000
West Midlands,500000
South East,550000
East Midlands,700000
Wales,900000
East Midlands,900000
Northern Ireland,900000
West Midlands,1000000
Greater London,900000
North East,750000
Northern Ireland,600000
South East,750000
Northern Ireland,1000000
Yorkshire,900000
East Midlands,700000
Northern Ireland,250000
South East,500000
Scotland,600000
North East,550000
Wales,500000
Greater London,550000
North East,250000
Greater London,600000
East Midlands,900000
Wales,600000
Wales,700000
Scotland,500000
Yorkshire,750000
Wales,550000
Yorkshire,250000
Scotland,900000
South East,900000
West Midlands,400000
South East,600000
South East,400000
Northern Ireland,250000
Scotland,250000
East Midlands,600000
East Midlands,900000
West Midlands,700000
Northern Ireland,500000
West Midlands,900000
West Midlands,250000
North East,700000
Greater London,550000
Greater London,400000
North East,550000
North East,550000
Northern Ireland,900000
Yorkshire,1000000
Scotland,900000
Scotland,900000
East Midlands,400000
South East,400000
Scotland,550000
Scotland,750000
Yorkshire,250000
Yorkshire,750000
Northern Ireland,550000
Scotland,750000
Greater London,600000
Scotland,500000
South East,600000
West Midlands,900000
Northern Ireland,500000
Northern Ireland,700000
South East,600000
Northern Ireland,750000
East Midlands,550000
Wales,600000
Greater London,400000
Northern Ireland,550000
South East,600000
Yorkshire,700000
Scotland,400000
North East,700000
Scotland,900000
Wales,750000
West Midlands,900000
West Midlands,500000
Yorkshire,1000000
Northern Ireland,550000
South East,1000000
Scotland,500000
East Midlands,550000
Scotland,250000
East Midlands,900000
South East,900000
East Midlands,550000
Scotland,550000
Scotland,250000
East Midlands,500000
Yorkshire,500000
Northern Ireland,1000000
Greater London,700000
West Midlands,250000
South East,550000
South East,600000
East Midlands,600000
North East,500000
West Midlands,500000
West Midlands,550000
Wales,400000
Northern Ireland,900000
West Midlands,400000
Greater London,1000000
Wales,550000
Northern Ireland,900000
North East,400000
Wales,500000
Scotland,900000
West Midlands,400000
Greater London,900000
North East,1000000
Northern Ireland,500000
Wales,600000
Greater London,550000
Greater London,550000
Wales,550000
Yorkshire,250000
West Midlands,550000
Yorkshire,400000
East Midlands,900000
Greater London,1000000
South East,1000000
West Midlands,600000
South East,750000
West Midlands,600000
Wales,700000
Northern Ireland,900000
North East,600000
East Midlands,750000
West Midlands,250000
North East,700000
East Midlands,600000
Greater London,900000
North East,500000
South East,550000
North East,400000
West Midlands,500000
East Midlands,1000000
South East,1000000
Wales,750000
Yorkshire,500000
West Midlands,600000
East Midlands,550000
South East,750000
Northern Ireland,600000
North East,400000
Yorkshire,900000
Scotland,550000
Greater London,900000
Scotland,250000
South East,600000
Scotland,1000000
South East,600000
North East,700000
Northern Ireland,550000
East Midlands,600000
Northern Ireland,1000000
Wales,700000
Yorkshire,550000
Scotland,400000
Scotland,400000
West Midlands,750000
North East,550000
Wales,550000
Wales,750000
Scotland,700000
Yorkshire,1000000
Greater London,550000
Yorkshire,550000
North East,1000000
Wales,1000000
North East,700000
South East,400000
Scotland,1000000
Wales,900000
Wales,550000
Scotland,900000
Northern Ireland,400000
Greater London,700000
Wales,550000
Yorkshire,750000
Greater London,1000000
Wales,500000
East Midlands,250000
North East,600000
Scotland,600000
North East,1000000
Scotland,600000
Greater London,400000
Scotland,900000
Yorkshire,1000000
Northern Ireland,250000
Wales,600000
Scotland,550000
Yorkshire,600000
North East,1000000
Greater London,400000
East Midlands,1000000
North East,250000
Greater London,250000
West Midlands,250000
Scotland,600000
Wales,750000
West Midlands,250000
North East,1000000
Greater London,900000
North East,400000
Wales,600000
Northern Ireland,600000
North East,550000
Yorkshire,250000
Yorkshire,750000
Northern Ireland,700000
West Midlands,900000
East Midlands,250000
Wales,900000
Wales,700000
Northern Ireland,750000
Yorkshire,250000
North East,600000
North East,700000
Greater London,250000
Greater London,250000
Wales,550000
West Midlands,250000
South East,900000
Scotland,250000
Yorkshire,700000
South East,700000
South East,750000
Scotland,1000000
Wales,400000
Yorkshire,900000
West Midlands,400000
East Midlands,250000
West Midlands,400000
Yorkshire,1000000
Northern Ireland,600000
West Midlands,900000
West Midlands,550000
Wales,500000
West Midlands,500000
Scotland,750000
Wales,550000
Northern Ireland,750000
Wales,700000
East Midlands,400000
North East,600000
Northern Ireland,250000
East Midlands,700000
Wales,400000
North East,750000
Yorkshire,400000
Northern Ireland,700000
Yorkshire,750000
Greater London,600000
East Midlands,250000
Northern Ireland,1000000
Scotland,1000000
West Midlands,500000
South East,1000000
Wales,250000
Wales,550000
Northern Ireland,500000
East Midlands,500000
East Midlands,700000
Scotland,400000
Yorkshire,250000
Greater London,700000
Scotland,250000
North East,700000
Northern Ireland,1000000
Yorkshire,500000
Yorkshire,550000
Wales,400000
North East,600000
East Midlands,600000
South East,600000
Northern Ireland,700000
Northern Ireland,500000
Northern Ireland,900000
Greater London,700000
Greater London,700000
West Midlands,1000000
South East,1000000
Northern Ireland,250000
Northern Ireland,250000
West Midlands,600000
Scotland,600000
South East,400000
Greater London,500000
South East,700000
Wales,500000
South East,550000
Yorkshire,600000
Yorkshire,750000
West Midlands,750000
Greater London,700000
West Midlands,400000
Wales,900000
East Midlands,750000
Northern Ireland,750000
West Midlands,700000
East Midlands,900000
Wales,400000
Wales,500000
Wales,400000
Northern Ireland,600000
East Midlands,250000
Northern Ireland,250000
Yorkshire,550000
Yorkshire,1000000
East Midlands,750000
East Midlands,500000
Yorkshire,750000
Greater London,600000
Greater London,1000000
Wales,750000
Scotland,1000000
West Midlands,400000
South East,550000
West Midlands,700000
West Midlands,700000
South East,750000
Wales,750000
North East,700000
North East,400000
East Midlands,600000
East Midlands,600000
Yorkshire,700000
South East,400000
Scotland,600000
Wales,1000000
Wales,250000
Yorkshire,1000000
South East,700000
Wales,550000
West Midlands,1000000
East Midlands,400000
East Midlands,400000
Greater London,500000
Greater London,400000
Scotland,250000
East Midlands,1000000
East Midlands,700000
Greater London,400000
Wales,500000
South East,900000
Wales,500000
East Midlands,750000
Wales,550000
South East,700000
Northern Ireland,600000
Scotland,750000
Scotland,550000
North East,700000
Northern Ireland,550000
Greater London,550000
Greater London,550000
Scotland,750000
North East,900000
South East,550000
Yorkshire,500000
Scotland,550000
Wales,500000
Yorkshire,1000000
North East,900000
West Midlands,250000
West Midlands,250000
East Midlands,400000
Wales,700000
Wales,500000
West Midlands,1000000
North East,600000
Wales,750000
South East,500000
East Midlands,600000
East Midlands,550000
Greater London,700000
West Midlands,550000
Yorkshire,250000
East Midlands,500000
Northern Ireland,1000000
East Midlands,700000
Greater London,550000
Yorkshire,250000
North East,700000
Yorkshire,750000
South East,600000
West Midlands,1000000
South East,250000
Greater London,700000
East Midlands,400000
West Midlands,550000
Greater London,600000
Greater London,500000
South East,400000
South East,500000
South East,900000
North East,400000
Northern Ireland,700000
South East,400000
West Midlands,600000
Wales,750000
West Midlands,900000
West Midlands,550000
Scotland,400000
Scotland,900000
North East,500000
West Midlands,1000000
Greater London,900000
East Midlands,550000
South East,250000
Wales,700000
Greater London,250000
South East,550000
Greater London,700000
Greater London,400000
Wales,250000
Scotland,900000
Scotland,250000
Wales,750000
Yorkshire,400000
Greater London,900000
Scotland,600000
Greater London,600000
Yorkshire,900000
North East,550000
Northern Ireland,550000
Northern Ireland,400000
North East,1000000
East Midlands,500000
East Midlands,400000
Scotland,1000000
Scotland,500000
Wales,900000
Northern Ireland,600000
West Midlands,1000000
Wales,900000
Scotland,250000
Wales,600000
East Midlands,250000
West Midlands,500000
South East,400000
Northern Ireland,700000
Yorkshire,600000
Wales,500000
Scotland,550000
South East,1000000
Northern Ireland,400000
North East,550000
Yorkshire,500000
West Midlands,1000000
Greater London,750000
South East,1000000
South East,500000
West Midlands,500000
Greater London,900000
East Midlands,400000
South East,500000
Wales,600000
Wales,250000
Scotland,400000
Northern Ireland,250000
South East,600000
Wales,250000
West Midlands,550000
Greater London,700000
Yorkshire,600000
West Midlands,750000
Greater London,500000
North East,500000
Yorkshire,250000
North East,750000
East Midlands,600000
South East,1000000
Northern Ireland,550000
Yorkshire,500000
Northern Ireland,500000
